Script started on 2020-09-20 11:48:32-0400
]0;danielvaseekaran@school: ~/Documents/GTOMSCS/CS6210-AOS/projects/CS6210-project1/cpu[01;32mdanielvaseekaran@school[00m:[01;34m~/Documents/GTOMSCS/CS6210-AOS/projects/CS6210-project1/cpu[00m$ ./monitor.py 
--------------------------------------------------
0 - usage: 1.0 | mapping ['aos_vm6', 'aos_vm8', 'aos_vm4', 'aos_vm1', 'aos_vm7', 'aos_vm2', 'aos_vm5', 'aos_vm3']
1 - usage: 0.0 | mapping []
2 - usage: 0.0 | mapping []
3 - usage: 0.0 | mapping []
4 - usage: 0.0 | mapping []
5 - usage: 0.0 | mapping []
6 - usage: 0.0 | mapping []
7 - usage: 0.0 | mapping []
8 - usage: 0.0 | mapping []
9 - usage: 0.0 | mapping []
10 - usage: 0.0 | mapping []
11 - usage: 0.0 | mapping []
--------------------------------------------------
0 - usage: 0.0 | mapping ['aos_vm6']
1 - usage: 0.0 | mapping ['aos_vm8']
2 - usage: 0.0 | mapping ['aos_vm4']
3 - usage: 0.0 | mapping ['aos_vm1']
4 - usage: 0.0 | mapping ['aos_vm7']
5 - usage: 0.0 | mapping ['aos_vm2']
6 - usage: 0.0 | mapping ['aos_vm5']
7 - usage: 0.0 | mapping ['aos_vm3']
8 - usage: 0.0 | mapping []
9 - usage: 0.0 | mapping []
10 - usage: 0.0 | mapping []
11 - usage: 0.0 | mapping []
--------------------------------------------------
0 - usage: 9.0 | mapping ['aos_vm6']
1 - usage: 9.0 | mapping ['aos_vm8']
2 - usage: 9.0 | mapping ['aos_vm4']
3 - usage: 9.0 | mapping ['aos_vm1']
4 - usage: 9.0 | mapping ['aos_vm7']
5 - usage: 10.0 | mapping ['aos_vm2']
6 - usage: 5.0 | mapping ['aos_vm5']
7 - usage: 10.0 | mapping ['aos_vm3']
8 - usage: 0.0 | mapping []
9 - usage: 0.0 | mapping []
10 - usage: 0.0 | mapping []
11 - usage: 0.0 | mapping []
--------------------------------------------------
0 - usage: 69.0 | mapping ['aos_vm6']
1 - usage: 71.0 | mapping ['aos_vm8']
2 - usage: 49.0 | mapping ['aos_vm4']
3 - usage: 49.0 | mapping ['aos_vm1']
4 - usage: 50.0 | mapping ['aos_vm7']
5 - usage: 49.0 | mapping ['aos_vm2']
6 - usage: 72.0 | mapping ['aos_vm5']
7 - usage: 71.0 | mapping ['aos_vm3']
8 - usage: 0.0 | mapping []
9 - usage: 0.0 | mapping []
10 - usage: 0.0 | mapping []
11 - usage: 0.0 | mapping []
--------------------------------------------------
0 - usage: 22.0 | mapping ['aos_vm6']
1 - usage: 22.0 | mapping ['aos_vm8']
2 - usage: 17.0 | mapping ['aos_vm4']
3 - usage: 17.0 | mapping ['aos_vm1']
4 - usage: 18.0 | mapping ['aos_vm7']
5 - usage: 17.0 | mapping ['aos_vm2']
6 - usage: 22.0 | mapping ['aos_vm5']
