Script started on 2020-09-20 11:50:19-0400
]0;danielvaseekaran@school: ~/Documents/GTOMSCS/CS6210-AOS/projects/CS6210-project1/cpu[01;32mdanielvaseekaran@school[00m:[01;34m~/Documents/GTOMSCS/CS6210-AOS/projects/CS6210-project1/cpu[00m$ ./monitor.py
--------------------------------------------------
0 - usage: 1.0 | mapping ['aos_vm6', 'aos_vm4', 'aos_vm7', 'aos_vm5']
1 - usage: 0.0 | mapping []
2 - usage: 0.0 | mapping []
3 - usage: 0.0 | mapping []
4 - usage: 0.0 | mapping []
5 - usage: 0.0 | mapping []
6 - usage: 0.0 | mapping []
7 - usage: 0.0 | mapping []
8 - usage: 0.0 | mapping []
9 - usage: 0.0 | mapping []
10 - usage: 0.0 | mapping []
11 - usage: 1.0 | mapping ['aos_vm8', 'aos_vm1', 'aos_vm2', 'aos_vm3']
--------------------------------------------------
0 - usage: 24.0 | mapping ['aos_vm6']
1 - usage: 23.0 | mapping ['aos_vm8']
2 - usage: 23.0 | mapping ['aos_vm4']
3 - usage: 24.0 | mapping ['aos_vm1']
4 - usage: 23.0 | mapping ['aos_vm7']
5 - usage: 24.0 | mapping ['aos_vm2']
6 - usage: 23.0 | mapping ['aos_vm5']
7 - usage: 25.0 | mapping ['aos_vm3']
8 - usage: 0.0 | mapping []
9 - usage: 0.0 | mapping []
10 - usage: 0.0 | mapping []
11 - usage: 0.0 | mapping []
--------------------------------------------------
0 - usage: 72.0 | mapping ['aos_vm6']
1 - usage: 72.0 | mapping ['aos_vm8']
2 - usage: 58.0 | mapping ['aos_vm4']
3 - usage: 61.0 | mapping ['aos_vm1']
4 - usage: 57.0 | mapping ['aos_vm7']
5 - usage: 62.0 | mapping ['aos_vm2']
6 - usage: 73.0 | mapping ['aos_vm5']
7 - usage: 71.0 | mapping ['aos_vm3']
8 - usage: 0.0 | mapping []
9 - usage: 0.0 | mapping []
10 - usage: 0.0 | mapping []
11 - usage: 0.0 | mapping []
--------------------------------------------------
0 - usage: 38.0 | mapping ['aos_vm6']
1 - usage: 39.0 | mapping ['aos_vm8']
2 - usage: 37.0 | mapping ['aos_vm4']
3 - usage: 38.0 | mapping ['aos_vm1']
4 - usage: 38.0 | mapping ['aos_vm7']
5 - usage: 37.0 | mapping ['aos_vm2']
6 - usage: 38.0 | mapping ['aos_vm5']
7 - usage: 39.0 | mapping ['aos_vm3']
8 - usage: 0.0 | mapping []
9 - usage: 0.0 | mapping []
10 - usage: 0.0 | mapping []
11 - usage: 0.0 | mapping []
--------------------------------------------------
0 - usage: 48.0 | mapping ['aos_vm6']
1 - usage: 48.0 | mapping ['aos_vm8']
2 - usage: 46.0 | mapping ['aos_vm4']
3 - usage: 46.0 | mapping ['aos_vm1']
4 - usage: 46.0 | mapping ['aos_vm7']
5 - usage: 46.0 | mapping ['aos_vm2']
6 - usage: 47.0 | mapping ['aos_vm5']
